state,Jan_change_2021_19,Feb_change_2021_19,Mar_change_2021_19,Mar_change_2020_19,Apr_change_2021_19,Apr_change_2020_19,May_change_2021_19,May_change_2020_19,Jun_change_2021_19,Jun_change_2020_19,Jul_change_2021_19,Jul_change_2020_19,Aug_change_2021_19,Aug_change_2020_19,Sep_change_2021_19,Sep_change_2020_19,Oct_change_2021_19,Oct_change_2020_19,Nov_change_2020_19,Dec_change_2020_19,mean_unemp_changes,std_dev,zscore,percentile
IN,1.2,1.1764705882352942,1.1818181818181819,1.0,1.1818181818181819,5.121212121212121,1.25,3.75,1.2812499999999998,3.1562499999999996,1.2812499999999998,2.6874999999999996,1.2812499999999998,2.28125,1.09375,1.9687499999999998,1.064516129032258,1.8064516129032255,1.6129032258064515,1.4838709677419353,1.843015550428382,0.5396011334179114,-0.1682409243290673,0.5668031265952772
OR,1.4761904761904763,1.4878048780487805,1.5,0.9,1.512820512820513,3.3846153846153846,1.5263157894736843,3.0789473684210527,1.5135135135135134,2.7837837837837838,1.4054054054054055,2.5945945945945943,1.3888888888888888,2.3333333333333335,1.342857142857143,2.142857142857143,1.2941176470588236,2.058823529411765,2.0,1.9090909090909092,1.8816980150182594,0.5396011334179114,-0.09655377952109212,0.5384596182411053
PA,1.6976744186046513,1.7209302325581397,1.6976744186046513,1.1860465116279069,1.6511627906976745,3.7674418604651163,1.627906976744186,3.1395348837209305,1.5681818181818181,3.0227272727272725,1.477272727272727,2.954545454545454,1.4222222222222223,2.2666666666666666,1.347826086956522,1.5434782608695652,1.3043478260869565,1.5217391304347827,1.5106382978723403,1.5106382978723403,1.896932807736596,0.5396011334179114,-0.06832034601839147,0.5272346859058932
MD,1.7297297297297298,1.7222222222222223,1.7222222222222223,0.9722222222222222,1.7714285714285716,2.5714285714285716,1.7428571428571427,2.5714285714285716,1.7714285714285716,2.457142857142857,1.7142857142857142,2.4857142857142853,1.7142857142857142,2.457142857142857,1.7058823529411764,2.058823529411765,1.6764705882352942,2.0,2.0606060606060606,2.0606060606060606,1.9482963922669807,0.5396011334179114,0.026867712992975794,0.48928262275758744
TN,1.5,1.4411764705882355,1.5454545454545454,1.2121212121212122,1.5151515151515151,4.787878787878788,1.5151515151515151,2.909090909090909,1.484848484848485,2.8181818181818183,1.4242424242424243,2.6969696969696972,1.3939393939393938,2.4545454545454546,1.2941176470588236,2.323529411764706,1.2352941176470589,2.2941176470588234,1.5999999999999999,1.5555555555555554,1.950068330362448,0.5396011334179114,0.030151505382816714,0.48797311201323906
ME,1.7333333333333334,1.7142857142857144,1.7777777777777777,1.1481481481481481,1.846153846153846,3.4999999999999996,1.846153846153846,3.1923076923076925,1.846153846153846,2.0384615384615383,1.8148148148148149,3.2592592592592595,1.8148148148148149,1.9259259259259258,1.7777777777777777,1.8148148148148149,1.8148148148148149,1.7777777777777777,1.8148148148148149,1.7857142857142858,2.012165242165243,0.5396011334179114,0.14523078887035162,0.4422643288133313
DE,1.7428571428571427,1.8,1.911764705882353,1.411764705882353,1.8823529411764708,3.9411764705882355,1.7352941176470589,3.9117647058823533,1.657142857142857,3.685714285714286,1.5555555555555554,2.305555555555556,1.4594594594594594,2.135135135135135,1.4210526315789476,2.0,1.358974358974359,1.4615384615384617,1.45,1.4390243902439026,2.0133063740407247,0.5396011334179114,0.14734555810416256,0.4414296373548145
VT,1.4545454545454546,1.3636363636363635,1.3181818181818181,1.1818181818181817,1.3181818181818181,6.727272727272727,1.3636363636363635,4.2272727272727275,1.409090909090909,3.5,1.3043478260869565,2.7826086956521743,1.3043478260869565,2.347826086956522,1.1666666666666667,1.9166666666666665,1.1199999999999999,1.6,1.48,1.4,2.014305006587615,0.5396011334179114,0.1491962446299024,0.4406993915901888
MI,1.3571428571428572,1.2380952380952381,1.2142857142857142,0.8809523809523809,1.1666666666666667,5.6190476190476195,1.1904761904761905,4.9523809523809526,1.1904761904761905,3.3571428571428568,1.1707317073170733,2.1951219512195124,1.1463414634146343,2.073170731707317,1.575,2.05,1.564102564102564,2.076923076923077,2.1578947368421053,2.216216216216216,2.019608455720458,0.5396011334179114,0.15902470644066652,0.43682470429721265
NH,1.3846153846153846,1.2692307692307692,1.1538461538461537,1.0384615384615385,1.0769230769230769,6.153846153846153,1.1153846153846154,5.153846153846154,1.1153846153846154,3.9615384615384617,1.1153846153846154,3.115384615384615,1.1538461538461537,2.5384615384615383,1.1153846153846154,2.1153846153846154,1.1153846153846154,1.8076923076923077,1.6153846153846154,1.4615384615384615,2.0288461538461537,0.5396011334179114,0.1761441999954386,0.43009032858852836
