"Food Scarcity, Household Pulse Survey","","","","","","",""
"Adults in households where there was either sometimes or often not enough to eat in the last 7 days","","","","","","",""
"","","Total Food Scarcity","","Percent Food Scarcity","","",""
"Week","Area","Number","Margin of Error +/-","Percent","MOE +/-","Measure Universe","Total Population age 18+"
"35","Missouri","384357","98885","9.4","2.4","4069719","4638839"
"35","Montana","44806","20149","5.8","2.6","777360","834511"
"35","Nebraska","100869","27978","8.1","2.2","1249964","1420835"
"35","Nevada","190590","39399","9.1","1.8","2098450","2450986"
"35","New Hampshire","41675","21091","4.2","2.1","982545","1080887"
"35","New Jersey","324684","112969","5.8","2","5579483","6767278"
"35","New Mexico","121505","42119","8.4","2.9","1440552","1604259"
"35","New York","582483","268072","4.9","2.2","11868820","14714964"
"35","North Carolina","531511","185038","7.6","2.6","6999494","8121448"
"35","North Dakota","44246","17090","8.8","3.3","503435","560525"
"35","Ohio","633923","185240","8.3","2.3","7678966","8833555"
"35","Oklahoma","292767","92545","11.3","3.6","2596190","2941764"
"35","Oregon","265851","46767","8.7","1.5","3043116","3326774"
"35","Pennsylvania","620387","156252","7.4","1.8","8402248","9760505"
"35","Rhode Island","79678","27579","11.3","3.9","708136","815717"
"35","South Carolina","390178","91250","11","2.6","3540628","4033193"
"35","South Dakota","43397","17393","7.4","2.9","583410","648348"
"35","Tennessee","511369","125509","10.8","2.6","4738492","5279261"
"35","Texas","1666202","238535","9.1","1.3","18279942","21688354"
"35","Utah","94061","28032","4.5","1.3","2075321","2324002"
"35","Vermont","10663","5432","2.4","1.2","441484","485680"
"35","Virginia","365923","110074","6.6","2","5584880","6511643"
"35","Washington","277861","62775","5.2","1.2","5306474","5950326"
"35","West Virginia","102982","42043","8.4","3.4","1222070","1377441"
"35","Wisconsin","248809","87227","6.4","2.2","3908389","4454731"
"35","Wyoming","35303","17763","9.1","4.5","388463","438527"
"35","Atlanta-Sandy Springs-Alpharetta, GA Metro Area","260599","90337","6.7","2.3","3918236","4689359"
"35","Boston-Cambridge-Newton, MA-NH Metro Area","149201","41029","4.7","1.3","3199764","3756345"
"35","Chicago-Naperville-Elgin, IL-IN-WI Metro Area","399496","134939","7","2.4","5720811","6770508"
"35","Dallas-Fort Worth-Arlington, TX Metro Area","369037","142492","7.2","2.7","5114853","5992993"
"35","Detroit-Warren-Dearborn, MI Metro Area","243145","83955","7.5","2.5","3239633","3727762"
"35","Houston-The Woodlands-Sugar Land, TX Metro Area","479446","128414","10.5","2.7","4572123","5485128"
"35","Los Angeles-Long Beach-Anaheim, CA Metro Area","728179","195890","8.8","2.3","8315630","10360594"
"35","Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","389922","131910","9.9","3.1","3939060","4840570"
"35","New York-Newark-Jersey City, NY-NJ-PA Metro Area","563146","191588","5.2","1.7","10765382","13676437"
"35","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","196389","55022","4.5","1.3","4355695","5060890"
"35","Phoenix-Mesa-Chandler, AZ Metro Area","205662","64088","5.8","1.8","3536004","3989075"
"35","Riverside-San Bernardino-Ontario, CA Metro Area","348849","148536","10.1","4.1","3443030","4325369"
"35","San Francisco-Oakland-Berkeley, CA Metro Area","132476","47490","4.3","1.5","3099303","3486913"
"35","Seattle-Tacoma-Bellevue, WA Metro Area","165667","43323","5.8","1.5","2848222","3179284"
"35","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","258867","62405","6.7","1.5","3874147","4395600"
"34","United States","17698955","1008935","8.2","0.5","215237891","250265449"
"34","Alabama","332411","96215","10.3","2.9","3217156","3737637"
"34","Alaska","35465","7761","7.4","1.6","479431","525308"
"34","Arizona","373167","83500","7.5","1.7","4964890","5753909"
"34","Arkansas","211870","56491","11.1","3","1907589","2264877"
"34","California","2023366","380415","8","1.5","25218646","29807656"
"34","Colorado","254280","82443","6.2","2","4111111","4504323"
"34","Connecticut","199129","67629","8.6","2.8","2314695","2724164"
"34","Delaware","27296","14348","4.1","2.2","658357","767878"
"34","District of Columbia","57309","21614","11.2","4.2","511703","546656"
"34","Florida","1251202","374696","8.5","2.5","14722884","17254676"
"34","Georgia","714621","147467","10.1","2","7063395","8033423"
"34","Hawaii","60309","22731","6.4","2.3","945855","1065941"
"34","Idaho","84885","31862","6.7","2.5","1263229","1382940"
"34","Illinois","665766","256986","8.3","3.2","8020917","9479736"
"34","Indiana","331205","101651","7.5","2.2","4411816","5029256"
"34","Iowa","207568","68597","10.2","3.2","2034458","2349714"
"34","Kansas","132522","38664","7.2","2.1","1853265","2146524"
"34","Kentucky","228101","59696","8.1","2.1","2818465","3358135"
"34","Louisiana","375452","110879","13.3","3.8","2816248","3432241"
"34","Maine","46386","22159","4.9","2.4","939074","1073016"
"34","Maryland","417243","127964","10.5","3.1","3970646","4585752"
"34","Massachusetts","326655","89589","7.1","1.9","4626530","5309617"
"34","Michigan","429692","120197","6.4","1.8","6665658","7631231"
"34","Minnesota","325470","95397","8.6","2.5","3778736","4250165"
"34","Mississippi","259813","69212","14.5","3.7","1794282","2186321"
"34","Missouri","339839","103887","8.6","2.6","3963274","4638839"
"34","Montana","37615","13452","5.1","1.8","741697","834511"
"34","Nebraska","82545","27174","6.7","2.2","1235533","1420835"
"34","Nevada","199352","54680","9.4","2.5","2124838","2450986"
"34","New Hampshire","63688","25526","6.4","2.5","1002121","1080887"
"34","New Jersey","371958","152208","6.4","2.6","5837935","6767278"
"34","New Mexico","100729","27457","7","1.9","1442880","1604259"
"34","New York","898318","287481","7.1","2.3","12574583","14714964"
"34","North Carolina","444044","111673","6.4","1.6","6975762","8121448"
"34","North Dakota","36785","14834","7.5","3","493023","560525"
"34","Ohio","478664","127463","6.2","1.7","7690143","8833555"
"34","Oklahoma","274824","77879","11.1","3","2475200","2941764"
"34","Oregon","166791","41303","5.5","1.4","3030366","3326774"
"34","Pennsylvania","671999","197164","8.2","2.4","8152254","9760505"
"34","Rhode Island","55867","21381","7.9","2.9","707875","815717"
"34","South Carolina","383475","112185","10.9","3.1","3523305","4033193"
"34","South Dakota","56149","19624","9.9","3.5","564574","648348"
"34","Tennessee","372855","127032","8.2","2.8","4557288","5279261"
"34","Texas","2060955","371849","11.4","2","18098626","21688354"
"34","Utah","154170","46751","7.4","2.2","2072235","2324002"
"34","Vermont","20426","10679","4.7","2.4","438932","485680"
